"Azimuth","Fetch"
0,168.780731106454
5,169.183194638855
10,170.882336040685
15,173.944967030343
20,178.495573098197
25,184.729065084478
30,192.932314955919
35,203.519207356786
40,217.087918319131
45,234.516916401058
50,220.451788128581
55,205.839787735011
60,194.429277578204
65,185.555786643288
70,178.761129490315
75,173.727376795414
80,170.236665944739
85,168.146462911406
90,167.37466236847
95,167.891480045134
100,169.71659855896
105,172.921046352203
110,177.634150686771
115,184.056869352615
120,192.484178088854
125,203.341474578383
130,214.555577013468
135,196.159384775566
140,181.952887607214
145,170.88304661899
150,162.248908651932
155,155.571616180284
160,150.51938165785
165,146.862503046101
170,144.445770895976
175,143.171547589434
180,142.98986219874
185,143.893568318863
190,145.917665980502
195,148.953103981661
200,153.293220027326
205,159.135823852179
210,166.757566095119
215,176.557016805629
220,189.366325090942
225,205.964016004746
230,227.664567120047
235,225.55200919967
240,213.119890064622
245,203.453470857287
250,196.055752325788
255,190.581875747358
260,186.795711409634
265,184.543137619479
270,183.735972035383
275,184.349522672954
280,186.440136890606
285,190.051670714264
290,195.330560062419
295,202.503101338246
300,211.900817221016
305,224.001686995719
310,239.497692905488
315,240.717576656129
320,221.939125056055
325,207.350046651755
330,195.963962894719
335,187.113752982361
340,180.339355254585
345,175.321497250216
350,171.841364205673
355,169.659295400534
