TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,PPFD_1_1_1,Rn_1_1_1,SWout_1_1_1,LWout_1_1_1,Ts_3_1_1,Ts_3_2_1,SWC_3_1_1,SWC_3_2_1,SHF_1_1_1,SHF_1_1_2,SHF_2_1_1,SHF_2_1_2,P_1_1_1,Rg_1_1_1,LWin_1_1_1
yyyy-mm-dd HHMM,C,%,umol+1m-2s-1,W+1m-2,W+1m-2,W+1m-2,C,C,m3 m-3,m3 m-3,W+1m-2,W+1m-2,W+1m-2,W+1m-2,mm,W+1m-2,W+1m-2
2023-12-31 1930,-3.75,84.10666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,254.6433333
2023-12-31 2000,-4.603333333,86.26333333,0.003333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,225.3333333
2023-12-31 2030,-5.609333333,88.78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,234.7966667
2023-12-31 2100,-5.787,91.46333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,213.6966667
2023-12-31 2130,-6.679,91.26333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,212.4133333
2023-12-31 2200,-7.055333333,94.15,0.016666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,211.76
2023-12-31 2230,-7.632333333,94.82666667,0.006666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,210.5233333
2023-12-31 2300,-8.064666667,94.03333333,0.003333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,210.87
2023-12-31 2330,-8.262666667,93.58333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,210.99
2024-01-01 0000,-8.642666667,93.69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,211.32
2024-01-01 0030,-9.24,92.72333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,211.8833333
2024-01-01 0100,-9.499333333,92.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,212.3233333
2024-01-01 0130,-9.796,92.14666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,213.75
2024-01-01 0200,-10.00733333,92.08666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,214.6233333
2024-01-01 0230,-9.696,91.53666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,218.72
2024-01-01 0300,-10.238,91.22666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,222.9866667
2024-01-01 0330,-11.08533333,90.56666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,222.0566667
2024-01-01 0400,-11.005,90.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,225.47
2024-01-01 0430,-10.39233333,90.99666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,229.3533333
2024-01-01 0500,-10.55133333,90.54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,232.5633333
2024-01-01 0530,-10.28133333,90.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,234.4
2024-01-01 0600,-10.382,90.34666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,237.6366667
2024-01-01 0630,-10.20733333,91.49333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,239.79
2024-01-01 0700,-11.10333333,89.83333333,0.093333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,240.59
2024-01-01 0730,-10.87133333,90.27333333,7.676666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.58,241.31
2024-01-01 0800,-10.45933333,89.66333333,90.10333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,92.80333333,245.1166667
2024-01-01 0830,-8.969666667,90.82333333,258.7033333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,182.0433333,248.11
2024-01-01 0900,-7.480666667,91.18333333,411.4866667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,260.81,250.1466667
2024-01-01 0930,-6.454333333,91.59666667,546.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,330.37,241.71
2024-01-01 1000,-5.146666667,92.61333333,676.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,397.5666667,225.5066667
2024-01-01 1030,-3.857,92.15333333,838.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,481.2066667,216.15
2024-01-01 1100,-2.471333333,83.94,1040.843333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,585.2733333,218.7833333
2024-01-01 1130,-1.368666667,76.91933333,1073.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,602.2966667,221.12
2024-01-01 1200,-0.563,73.77633333,1001.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,564.9233333,223.5333333
2024-01-01 1230,0.231333333,68.92966667,925.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,526.0133333,225.9266667
2024-01-01 1300,0.717666667,67.34766667,889.2333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,486.2133333,227.4266667
2024-01-01 1330,1.266333333,65.80433333,827.8133333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,437.6866667,229.2466667
2024-01-01 1400,1.863666667,63.28633333,741.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,384.9066667,230.5433333
2024-01-01 1430,1.780666667,60.94633333,631.4033333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,330.06,230.1966667
2024-01-01 1500,1.769666667,62.65366667,499.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,262.6133333,230.65
2024-01-01 1530,1.582,63.93066667,350.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,186.6666667,230.16
2024-01-01 1600,1.086333333,66.22933333,196.4266667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,109.1233333,228.89
2024-01-01 1630,0.137,70.887,65.36333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35.87,226.8233333
2024-01-01 1700,-1.103666667,76.98333333,7.476666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.506666667,224.1066667
2024-01-01 1730,-1.958333333,81.42133333,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,222.58
2024-01-01 1800,-3.015,86.18666667,0.016666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,221.3833333
2024-01-01 1830,-4.003333333,88.63,0.003333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,221.17
2024-01-01 1900,-4.641666667,91.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,222.3533333
2024-01-01 1930,-3.519333333,91.07666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,260.0933333
2024-01-01 2000,-2.458666667,90.07333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,281.8333333
2024-01-01 2030,-2.175666667,89.14666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,282.53
2024-01-01 2100,-2.203666667,89.04333333,0.006666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,280.3966667
2024-01-01 2130,-2.498666667,90.14,0.013333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,262.1733333
2024-01-01 2200,-3.379,91.83333333,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,231.1266667
2024-01-01 2230,-3.866666667,93.23333333,0.003333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,230.7133333
2024-01-01 2300,-4.232,94.50666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,233.93
2024-01-01 2330,-4.971666667,95.20333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,232.02
2024-01-02 0000,-5.543666667,95.22333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,242.0166667
2024-01-02 0030,-4.950666667,94.85666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,247.9166667
2024-01-02 0100,-4.386,93.41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,233.07
2024-01-02 0130,-4.317,93.01333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,232.9866667
2024-01-02 0200,-4.291,93.41333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,236.12
2024-01-02 0230,-4.207666667,94.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,257.4433333
2024-01-02 0300,-3.873,94.13333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,269.3366667
2024-01-02 0330,-3.772333333,93.91,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,258.4866667
2024-01-02 0400,-3.697666667,93.11666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,256.06
2024-01-02 0430,-3.743,92.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,249.1433333
2024-01-02 0500,-3.997,92.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,256.1266667
2024-01-02 0530,-3.955666667,91.99666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,264.17
2024-01-02 0600,-4.133,91.94666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,259.3
2024-01-02 0630,-4.162666667,91.98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,263.8566667
2024-01-02 0700,-4.487,91.85333333,0.053333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,243.3766667
2024-01-02 0730,-4.981,92.16,6.686666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.663333333,237.08
2024-01-02 0800,-4.504,92.08333333,88.47333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,79.93,254.2833333
2024-01-02 0830,-2.889333333,89.48,217.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,152.9333333,253.0933333
2024-01-02 0900,-2.427666667,88.40666667,248.8766667,90.06081,28.92327,302.7465,0.2109097,0.4459806,0.5215615,0.2278645,-6.871185,-7.540783,-8.855165,-8.594836,0,161.9406,259.79
2024-01-02 0930,-0.959333333,85.15,487.3033333,121.5181,48.51144,306.8524,-0.1962506,0.01745033,0.5213625,0.227819,-6.8349,-7.478342,-8.816209,-8.5893,0,237.2623,239.6196
2024-01-02 1000,0.325333333,82.54666667,636.8633333,114.0819,48.18779,313.0933,0.2479804,0.5199221,0.5213009,0.2278241,-6.80547,-7.440506,-8.790813,-8.575181,0,234.7154,240.6477
2024-01-02 1030,1.528666667,78.72433333,741.3266667,197.0522,57.16729,323.7002,0.4844243,0.7798033,0.5212119,0.2278064,-6.745694,-7.355969,-8.734529,-8.533172,0,336.6299,241.2898
2024-01-02 1100,2.213666667,75.961,822.7766667,223.5637,68.61226,329.9919,0.6222545,0.8986356,0.5210897,0.2277887,-6.674413,-7.255369,-8.663454,-8.474768,0,378.932,243.2358
2024-01-02 1130,2.858,74.532,880.6666667,247.1376,77.40791,338.3941,0.6878482,0.9433913,0.5209761,0.227766,-6.598414,-7.15419,-8.586226,-8.40213,0,418.1019,244.8377
2024-01-02 1200,3.347666667,74.20766667,895,263.4733,82.35376,345.9934,0.7228917,0.9810586,0.5208741,0.2277538,-6.52774,-7.06298,-8.511891,-8.325129,0,445.1809,246.6395
2024-01-02 1230,3.800333333,73.88966667,829.1133333,273.7878,85.15789,348.2611,0.7998019,1.041669,0.5207481,0.2277389,-6.466585,-6.983423,-8.445053,-8.250718,0,459.7723,247.4344
2024-01-02 1300,3.755,73.19233333,859.7766667,244.1388,77.87817,348.0522,0.8428049,1.058405,0.5206276,0.2277184,-6.412432,-6.915286,-8.384712,-8.181206,0,419.935,250.1341
