Year	DoY	Hour	qcNEE	NEE	qcLE	LE	qcH	H	Rg	Tair	Tsoil	rH	VPD	qcTau	Ustar
-	-	-	-	umol+1s-1m-2	-	W+1m-2	-	W+1m-2	W+1m-2	C	C	%	Pa	-	m+1s-1
2024	1	0.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-9.24	-9999	92.7233	-9999	-9999	-9999
2024	1	1	-9999	-9999	-9999	-9999	-9999	-9999	0	-9.49933	-9999	92.12	-9999	-9999	-9999
2024	1	1.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-9.796	-9999	92.1467	-9999	-9999	-9999
2024	1	2	-9999	-9999	-9999	-9999	-9999	-9999	0	-10.0073	-9999	92.0867	-9999	-9999	-9999
2024	1	2.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-9.696	-9999	91.5367	-9999	-9999	-9999
2024	1	3	-9999	-9999	-9999	-9999	-9999	-9999	0	-10.238	-9999	91.2267	-9999	-9999	-9999
2024	1	3.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-11.0853	-9999	90.5667	-9999	-9999	-9999
2024	1	4	-9999	-9999	-9999	-9999	-9999	-9999	0	-11.005	-9999	90.48	-9999	-9999	-9999
2024	1	4.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-10.3923	-9999	90.9967	-9999	-9999	-9999
2024	1	5	-9999	-9999	-9999	-9999	-9999	-9999	0	-10.5513	-9999	90.54	-9999	-9999	-9999
2024	1	5.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-10.2813	-9999	90.99	-9999	-9999	-9999
2024	1	6	-9999	-9999	-9999	-9999	-9999	-9999	0	-10.382	-9999	90.3467	-9999	-9999	-9999
2024	1	6.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-10.2073	-9999	91.4933	-9999	-9999	-9999
2024	1	7	-9999	-9999	-9999	-9999	-9999	-9999	0	-11.1033	-9999	89.8333	-9999	-9999	-9999
2024	1	7.5	-9999	-9999	-9999	-9999	-9999	-9999	6.58	-10.8713	-9999	90.2733	-9999	-9999	-9999
2024	1	8	-9999	-9999	-9999	-9999	-9999	-9999	92.8033	-10.4593	-9999	89.6633	-9999	-9999	-9999
2024	1	8.5	-9999	-9999	-9999	-9999	-9999	-9999	182.043	-8.96967	-9999	90.8233	-9999	-9999	-9999
2024	1	9	-9999	-9999	-9999	-9999	-9999	-9999	260.81	-7.48067	-9999	91.1833	-9999	-9999	-9999
2024	1	9.5	-9999	-9999	-9999	-9999	-9999	-9999	330.37	-6.45433	-9999	91.5967	-9999	-9999	-9999
2024	1	10	-9999	-9999	-9999	-9999	-9999	-9999	397.567	-5.14667	-9999	92.6133	-9999	-9999	-9999
2024	1	10.5	-9999	-9999	-9999	-9999	-9999	-9999	481.207	-3.857	-9999	92.1533	-9999	-9999	-9999
2024	1	11	-9999	-9999	-9999	-9999	-9999	-9999	585.273	-2.47133	-9999	83.94	-9999	-9999	-9999
2024	1	11.5	-9999	-9999	-9999	-9999	-9999	-9999	602.297	-1.36867	-9999	76.9193	-9999	-9999	-9999
2024	1	12	-9999	-9999	-9999	-9999	-9999	-9999	564.923	-0.563	-9999	73.7763	-9999	-9999	-9999
2024	1	12.5	-9999	-9999	-9999	-9999	-9999	-9999	526.013	0.231333	-9999	68.9297	-9999	-9999	-9999
2024	1	13	-9999	-9999	-9999	-9999	-9999	-9999	486.213	0.717667	-9999	67.3477	-9999	-9999	-9999
2024	1	13.5	-9999	-9999	-9999	-9999	-9999	-9999	437.687	1.26633	-9999	65.8043	-9999	-9999	-9999
2024	1	14	-9999	-9999	-9999	-9999	-9999	-9999	384.907	1.86367	-9999	63.2863	-9999	-9999	-9999
2024	1	14.5	-9999	-9999	-9999	-9999	-9999	-9999	330.06	1.78067	-9999	60.9463	-9999	-9999	-9999
2024	1	15	-9999	-9999	-9999	-9999	-9999	-9999	262.613	1.76967	-9999	62.6537	-9999	-9999	-9999
2024	1	15.5	-9999	-9999	-9999	-9999	-9999	-9999	186.667	1.582	-9999	63.9307	-9999	-9999	-9999
2024	1	16	-9999	-9999	-9999	-9999	-9999	-9999	109.123	1.08633	-9999	66.2293	-9999	-9999	-9999
2024	1	16.5	-9999	-9999	-9999	-9999	-9999	-9999	35.87	0.137	-9999	70.887	-9999	-9999	-9999
2024	1	17	-9999	-9999	-9999	-9999	-9999	-9999	0.506667	-1.10367	-9999	76.9833	-9999	-9999	-9999
2024	1	17.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-1.95833	-9999	81.4213	-9999	-9999	-9999
2024	1	18	-9999	-9999	-9999	-9999	-9999	-9999	0	-3.015	-9999	86.1867	-9999	-9999	-9999
2024	1	18.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-4.00333	-9999	88.63	-9999	-9999	-9999
2024	1	19	-9999	-9999	-9999	-9999	-9999	-9999	0	-4.64167	-9999	91.22	-9999	-9999	-9999
2024	1	19.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-3.51933	-9999	91.0767	-9999	-9999	-9999
2024	1	20	-9999	-9999	-9999	-9999	-9999	-9999	0	-2.45867	-9999	90.0733	-9999	-9999	-9999
2024	1	20.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-2.17567	-9999	89.1467	-9999	-9999	-9999
2024	1	21	-9999	-9999	-9999	-9999	-9999	-9999	0	-2.20367	-9999	89.0433	-9999	-9999	-9999
2024	1	21.5	-9999	-9999	-9999	-9999	-9999	-9999	0	-2.49867	-9999	90.14	-9999	-9999	-9999
