"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","SWC_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","m3 m-3","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","C day-1","C day-1","hPa day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","-","-","-","days day-1","days day-1","%","%","%"
"2024-01-01",1,-5.00547,-9999,85.0826,-9999,130.49,-9999,230.868,-9999,24.9542,1.5,11.4636,1.5,914.497,1.5,0.883133,1.5,-0.339916,0.0925593,0.543217,0.473724,-9999,-9999,-9999,9.61203,2.89688,-9999,0.356126,-9999,-9999,-9999,0,11.2744,-9999,4.36478,2.15604,0.990451,21947.9,-0.915633,-0.352425,0.0959655,0.563208,0.491157,-9999,-9999,-9999,0.830479,139.05,-9999,17.094,-9999,-9999,-9999,2.17683,0.314779,-9999,0,0,0,0,0
"2024-01-02",1,-1.81031,-9999,90.4448,-9999,97.7845,-9999,176.919,-9999,29.0865,0.645833,11.4083,0.645833,912.077,0.645833,0.708778,0.708333,-0.158599,0.0954566,0.550178,0.477073,17.1355,6.8541,0.292074,8.06643,3.12968,0.164373,0.37397,548.596,0.38119,0.555133,0,8.44858,-9999,3.34482,2.51307,0.985681,21889.8,-0.734861,-0.164436,0.0989694,0.570425,0.49463,1.4805,0.592195,0.302823,0.69694,150.225,7.88993,17.9506,13166.3,0.395218,0.575562,2.54958,0.281724,-9999,0,0,35.4,35.4,29.2
"2024-01-03",1,-3.71917,0.266573,97.6651,0.105169,70.0489,45.1801,123.812,0.371421,21.6175,0.4375,6.50673,0.8125,519.752,0.8125,0.719256,0.791667,-0.188926,0.0915984,0.53033,0.467526,10.2184,5.32296,0.222403,7.61164,3.88688,0.15743,0.324292,425.192,0.299467,0.334401,0,6.05222,3.90356,2.34079,1.86775,0.562182,12474,-0.745724,-0.195878,0.0949692,0.549846,0.484731,0.88287,0.459904,0.230588,0.657645,186.57,7.55663,15.566,10204.6,0.310487,0.346707,3.32233,0.231357,0.622492,0,0,56.2,31.2,33.3
"2024-01-04",1,-1.65199,0.289475,93.0741,0.378196,24.2487,12.1305,55.7524,0.369642,9.05057,0.145833,5.04316,0.125,402.184,0.125,0.635198,0.0625,-0.103174,0.0877021,0.532023,0.46837,5.66503,2.58786,0.135125,1.96547,4.09964,0.105064,0.263236,206.451,0.213731,0.194803,0,2.09509,1.04808,1.05405,0.78197,0.435729,9652.42,-0.658573,-0.106971,0.0909295,0.551602,0.485606,0.489458,0.223591,0.140098,0.169817,196.783,5.04308,12.6353,4954.82,0.221596,0.201972,1.79462,0.35783,1.16184,0,0,85.4,87.5,93.8
"2024-01-05",1,-1.49679,0.394685,94.9702,0.295525,28.53,0.929289,73.0974,0.368637,4.88229,0.333333,3.49203,0.354167,278.725,0.354167,0.660769,0.479167,-0.120606,0.0954061,0.540163,0.472309,6.4136,2.80056,0.162045,2.39538,5.14904,0.108267,0.260139,223.567,0.261673,0.299625,0,2.46499,0.0802906,1.38197,0.421829,0.301712,6689.4,-0.685085,-0.125044,0.098917,0.560041,0.48969,0.554135,0.241969,0.168008,0.206961,247.154,5.19679,12.4867,5365.61,0.271303,0.310651,1.39812,0.416993,9.01153,0,0,66.7,64.6,52.1
"2024-01-06",1,-1.26718,0.418674,88.8953,0.641572,25.0482,9.5768,59.2416,0.367763,3.99642,0.145833,7.55065,0.333333,602.866,0.333333,0.77126,0.5,-0.194821,0.0912946,0.57644,0.473208,5.44944,2.6222,0.143923,3.00832,6.60888,0.106294,0.249578,209.309,0.238142,0.234995,0,2.16416,0.827435,1.12002,0.345291,0.652376,14468.8,-0.799643,-0.20199,0.0946542,0.597653,0.490622,0.470832,0.226558,0.149219,0.259919,317.226,5.10212,11.9797,5023.43,0.246906,0.243643,0.529282,0.653902,1.20573,0,0,85.4,66.7,50
"2024-01-07",1,-1.59532,0.511585,77.7951,1.21644,78.2093,24.4267,155.37,0.367169,17.0883,0,8.10284,0.0208333,646.55,0.0208333,0.663452,0.0833333,0.00141348,0.0901994,0.664866,0.476705,11.6862,3.29099,0.168313,7.10732,8.90309,0.131668,0.289392,262.659,0.213985,0.196311,0,6.75728,2.11047,2.93742,1.47643,0.700086,15517.2,-0.687867,0.00146549,0.0935187,0.689333,0.494248,1.00969,0.284342,0.174507,0.614073,427.348,6.32004,13.8908,6303.83,0.221859,0.203535,2.10893,0.321654,1.0313,0,0,100,97.9,91.7
"2024-01-08",1,0.200125,0.52553,94.3086,-9999,21.6865,6.76325,59.9345,0.367089,1.69385,0.729167,4.54392,0.833333,363.13,0.833333,0.762764,0.791667,-0.0162727,0.0877828,0.746491,0.477226,6.02761,4.85323,0.182669,1.87678,9.76084,0.098747,0.234404,387.679,0.391979,0,14.224,1.87372,0.584345,1.13312,0.146349,0.392595,8715.12,-0.790833,-0.0168716,0.0910132,0.773962,0.494787,0.520785,0.419319,0.189392,0.162154,468.52,4.73986,11.2514,9304.29,0.406404,0,0.372773,0.728453,0.922303,0,0,27.1,16.7,20.8
"2024-01-09",1,-7.01777,0.590593,88.0862,-9999,77.2569,-8.52289,174.425,0.375151,-2.24946,0.8125,6.72559,0.895833,533.871,0.895833,1.09633,0.895833,-0.269693,0.0928195,0.826636,0.479682,11.8629,16.4191,0.26797,7.22027,10.3459,0.136798,0.252557,1303.48,0.544474,0.802223,1.524,6.675,-0.736378,3.29767,-0.194353,0.581091,12812.9,-1.13667,-0.279618,0.0962353,0.857056,0.497334,1.02495,1.41861,0.277831,0.623832,496.602,6.56633,12.1227,31283.6,0.56451,0.831745,-0.334463,1.50255,-0.525189,0,0,18.8,12.5,10.4
