"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","SWC_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","m3 m-3","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm month-1","MJ m-2 month-1","MJ m-2 month-1","MJ m-2 month-1","MJ m-2 month-1","MJ m-2 month-1","mm month-1","g(C) m-2 month-1","g(C) m-2 month-1","g(C) m-2 month-1","g(C) m-2 month-1","g(C) m-2 month-1","MJ m-2 month-1","MJ m-2 month-1","g(C) m-2 month-1","MJ m-2 month-1","C month-1","C month-1","hPa month-1","mm month-1","g(C) m-2 month-1","g(C) m-2 month-1","-","-","-","days month-1","days month-1","%","%","%"
"Jan-24",31,-6.44407,-9999,83.503,-9999,87.8311,-9999,183.956,-9999,2.56676,0.427419,5.36412,0.514113,428.158,0.514113,0.915862,0.629704,-0.191313,0.0954166,0.724549,0.44922,1.48983,0.703909,0.0335525,1.31507,1.3843,0.0832862,0.0573909,56.1601,0.0495682,0.0571995,24.638,235.247,-9999,107.813,6.87481,14.3672,318550,-29.4365,-6.14896,3.06677,23.2876,14.4383,3.99037,1.88535,1.07841,3.52228,2059.84,123.93,85.3976,41783.1,1.59316,1.83844,0.478506,0.676359,-9999,0,0,59.3,51.5,40.1
"Feb-24",29,3.53191,2.53104,65.6472,-9999,140.2,54.8291,283.772,0.474048,33.8629,0.238506,13.3777,0.262213,1077.4,0.262213,0.972072,0.404454,-0.148068,0.0869964,0.824004,0.557187,2.07499,1.08025,0.0394428,1.81608,1.18745,0.241596,0.373204,86.8135,0.0545128,0.0463443,3.048,351.285,137.38,155.584,84.8468,33.5193,749869,-29.2275,-4.45198,2.61574,24.7755,16.753,5.19911,2.70667,1.18593,4.55037,1652.93,336.302,519.5,60422.2,1.63905,1.39344,2.53128,0.283183,0.861597,0,11,76.8,74.4,60.4
"Mar-24",31,5.65859,5.11561,58.5759,-9999,167.008,74.6709,344.177,0.454336,41.9224,0.143145,26.6642,0.180108,2150.63,0.180108,0.457501,0.294355,0.854754,0.987154,1.31225,1.55866,1.96457,1.32262,0.0566295,1.92905,1.18101,0.216618,0.383472,106.504,0.0382654,0.0258614,27.432,447.314,199.999,201.716,112.285,71.4173,1600070,-14.7044,27.4725,31.7279,42.1769,50.0966,5.2619,3.5425,1.82012,5.16678,1757.34,322.327,570.606,79239,1.22988,0.831207,1.57224,0.388767,0.918517,5,20,85.9,82.1,71.1
"Apr-24",30,11.9464,9.93831,58.6551,-9999,232.017,124.56,484.354,0.425799,33.5592,0.177778,82.8664,0.229167,6732.69,0.229167,-1.69082,0.385417,5.49767,5.74958,3.80685,4.29212,2.36537,2.92496,0.166473,2.63094,1.09269,0.254612,0.547337,237.395,0.0553894,0.0575344,68.072,601.387,322.858,274.714,86.9855,214.79,4847540,52.5912,171,178.835,118.408,133.502,6.13105,7.58149,5.17797,6.81941,1573.47,366.642,788.166,170924,1.72283,1.78955,0.404979,0.711754,0.934699,25,29,82.8,77.7,62.9
"May-24",31,17.6346,15.3637,64.8709,-9999,251.689,146.183,532.672,0.513654,-1.81928,0.189516,136.888,0.22379,11175,0.22379,-2.35398,0.350134,10.1726,10.4521,7.81865,8.46946,2.34763,3.94707,0.23939,2.60295,0.719459,0.210808,0.591713,322.042,0.0604805,0.0537529,195.834,674.123,391.537,312.19,-4.87276,366.64,8314230,75.6589,326.957,335.938,251.298,272.215,6.28789,10.5718,7.6942,6.97173,1070.55,313.682,880.469,239600,1.94389,1.72766,-0.0132903,1.01347,0.923967,26,31,81,77.8,65.1
"Jun-24",30,23.9472,22.0997,65.6528,-9999,272.912,168.3,587.621,0.479445,23.5848,0.155556,124.667,0.171528,10228.3,0.171528,1.72441,0.293056,7.89353,8.20415,9.61794,9.85123,2.43268,3.81977,0.205778,2.61247,0.745106,0.22485,0.752284,313.412,0.115545,0.0893169,63.246,707.389,436.234,333.285,61.1318,323.137,7364350,-53.636,245.52,255.182,299.157,306.413,6.30549,9.90085,6.40051,6.77152,1072.95,323.784,1083.29,225657,3.5939,2.77811,0.189182,0.840914,0.880877,5,30,84.5,82.8,71.5
"Jul-24",31,23.3109,-9999,79.0123,-9999,263.178,-9999,557.927,-9999,41.3352,0.307124,103.804,0.344086,8513.79,0.344086,2.80938,0.446909,5.92132,6.58601,8.7307,9.72449,2.38087,3.10812,0.218914,2.50337,0.618362,0.195127,0.418773,254.855,0.178977,5.38214,213.868,704.895,-9999,326.992,110.712,278.03,6334260,-90.2957,190.316,211.68,280.612,312.553,6.37693,8.3248,7.03608,6.70504,920.123,290.349,623.135,189612,5.75245,172.986,0.398203,0.715204,-9999,0,31,70.1,66.3,56.7
"Aug-24",31,22.0429,-9999,81.2274,-9999,224.743,-9999,478.506,-9999,33.1987,0.212366,97.986,0.231855,8028.38,0.231855,3.4048,0.340054,5.53166,6.41432,8.93646,10.3424,1.86223,2.70025,0.20912,2.3751,0.715284,0.207811,0.359548,221.152,0.205698,7.14329,89.662,601.951,-9999,280.444,88.9193,262.446,5973110,-109.433,177.792,206.161,287.225,332.414,4.9878,7.23234,6.72129,6.36146,1064.34,309.223,535.008,164537,6.6113,229.591,0.33881,0.746932,-9999,0,31,78.8,76.9,66.2
"Sep-24",30,19.6093,20.6208,67.5392,-9999,210.962,98.4249,439.184,0.431967,43.5005,0.1625,54.4506,0.191667,4454.58,0.191667,1.37302,0.321528,2.08216,2.11643,3.45519,3.31359,2.06899,1.96238,0.108335,2.28422,0.86567,0.218977,0.599423,160.369,0.0948629,1.42443,9.652,546.812,255.117,249.095,112.753,141.136,3207300,-42.7066,64.7636,65.8294,107.47,103.066,5.36281,5.0865,3.36964,5.92071,1246.56,315.328,863.169,115466,2.95061,44.3055,0.798898,0.555896,0.995186,0,30,83.8,80.8,68.1
