"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","SWC_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","m3 m-3","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","mm week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","g(C) m-2 week-1","MJ m-2 week-1","C week-1","C week-1","hPa week-1","mm week-1","g(C) m-2 week-1","g(C) m-2 week-1","-","-","-","days week-1","days week-1","%","%","%"
"01_24",7,-2.36375,-9999,89.7039,-9999,64.9085,-9999,125.009,-9999,15.8108,0.458333,7.65247,0.541667,610.95,0.541667,0.720264,0.589286,-0.157804,0.0920309,0.56246,0.472702,3.51655,1.35312,0.0731242,2.38791,1.94227,0.0613745,0.103267,108.052,0.102003,0.10588,0,39.2567,-9999,16.5438,9.56239,4.62822,102640,-5.22739,-1.14528,0.667924,4.08211,3.43068,2.12681,0.818364,0.530706,1.44421,652.603,20.6218,34.6978,18152.7,0.740294,0.768433,2.06611,0.326147,-9999,0,0,61.3,54.8,50
"02_24",7,-12.516,-9999,80.2764,-9999,79.5338,-9999,171.919,-9999,-2.02263,0.696429,4.32951,0.791667,342.602,0.791667,1.03526,0.815476,-0.175338,0.0936151,0.859922,0.454707,5.05124,2.90337,0.093128,2.74857,3.59609,0.217696,0.0819454,230.171,0.148482,0.159366,23.114,48.102,-9999,22.752,-1.22329,2.61849,57557.1,-7.5135,-1.27254,0.679421,6.24097,3.30008,3.05499,1.75596,0.675886,1.66234,1208.29,73.1459,27.5337,38668.7,1.07762,1.15662,-0.467173,1.87678,-9999,0,0,32.1,23.8,21.1
"03_24",7,-15.1317,-9999,70.1802,-9999,112.305,-9999,227.189,-9999,-9.59069,0.354167,3.42966,0.401786,271.904,0.401786,1.07272,0.583333,-0.196721,0.0974196,0.876001,0.412013,2.28947,1.06129,0.052154,3.14119,3.73485,0.221721,0.0825912,84.0907,0.0940513,0.109578,1.524,67.9223,-9999,30.0665,-5.80045,2.07426,45679.9,-7.78539,-1.42772,0.707033,6.35767,2.99023,1.38467,0.641869,0.378513,1.89979,1254.91,74.4981,27.7506,14127.2,0.682587,0.795277,-2.7964,-0.556669,-9999,0,0,64.6,61,43.8
"04_24",7,0.265623,-0.187518,93.1036,0.479401,72.657,20.1638,169.803,0.366239,2.7898,0.154762,4.08919,0.282738,327.739,0.282738,0.826282,0.514881,-0.190995,0.0959042,0.635287,0.450788,1.91704,1.17157,0.0619872,2.33654,2.98466,0.13876,0.145089,93.7345,0.0903212,0.113607,0,43.9429,12.1951,22.472,1.68727,2.47314,55060.1,-5.99683,-1.38617,0.696035,4.61066,3.27164,1.15942,0.708569,0.449878,1.41314,1002.85,46.6234,48.7499,15747.4,0.655515,0.824512,0.682239,0.594446,0.341154,0,0,84.5,71.7,48.5
"05_24",7,3.91766,0.53188,89.2189,-9999,100.561,44.3581,208.467,0.487775,5.69886,0.366071,7.78374,0.422619,627.14,0.422619,0.941611,0.494048,-0.233351,0.103742,0.708261,0.477681,4.58265,2.39526,0.0714322,2.96371,1.55422,0.4506,0.303131,192.626,0.102565,0.104895,1.778,60.8191,26.8278,27.5888,3.44667,4.70761,105360,-6.83384,-1.69356,0.752919,5.14027,3.46682,2.77158,1.44865,0.518426,1.79245,522.219,151.402,101.852,32361.2,0.744374,0.761285,0.732149,0.577317,0.303949,0,1,63.4,57.7,50.6
"06_24",7,3.80495,3.01589,74.6014,-9999,101.273,35.3132,211.476,0.483582,19.552,0.172619,12.5014,0.199405,1005.54,0.199405,1.08882,0.345238,-0.129489,0.1006,0.959335,0.57613,4.11265,2.41653,0.0614057,3.26801,1.93998,0.515942,0.41148,194.225,0.113063,0.0975828,0,61.2497,21.3574,27.9871,11.8251,7.56085,168930,-7.90225,-0.939782,0.730114,6.96247,4.18132,2.48733,1.46152,0.445658,1.97649,651.833,173.356,138.257,32629.8,0.820563,0.708217,1.56399,0.390018,0.907689,0,2,82.7,80.1,65.8
"07_24",7,0.16516,2.05109,64.241,-9999,156.573,61.0651,312.326,0.471351,44.3969,0.196429,13.6193,0.232143,1090.8,0.232143,0.996059,0.357143,-0.187803,0.102716,0.808255,0.537414,3.77905,2.48219,0.0707537,3.81487,2.48556,0.448394,0.643573,198.709,0.105828,0.10864,1.27,94.6955,36.9321,41.3336,26.8512,8.23693,183254,-7.22899,-1.363,0.745471,5.866,3.90033,2.28557,1.50123,0.513502,2.30723,835.148,150.661,216.241,33383.2,0.768059,0.788464,3.25986,0.234749,0.950071,0,1,80.4,76.8,64.3
"08_24",7,6.31431,3.17096,54.7757,-9999,172.713,70.0275,348.667,0.466213,47.0185,0.321429,14.7511,0.324405,1193.67,0.324405,0.906625,0.547619,-0.19315,0.0560909,0.713475,0.583546,4.80822,1.84225,0.113893,4.2017,3.02596,0.534205,1.04676,148.953,0.130772,0.0911847,0,104.457,42.3527,46.1431,28.4368,8.92148,200537,-6.57992,-1.40181,0.407085,5.17811,4.23514,2.90801,1.11419,0.826589,2.54119,1016.72,179.493,351.711,25024.2,0.949087,0.661782,3.18745,0.238809,0.882077,0,5,68.2,67.9,45.8
"09_24",7,5.7988,4.02981,50.3568,-9999,191.147,74.4298,382.483,0.463562,46.3282,0.21131,19.1642,0.244048,1549.94,0.244048,0.844746,0.294643,0.152924,0.0743731,0.997669,0.624546,4.62417,1.69737,0.0892126,4.3447,3.01489,0.412947,1.10533,137.069,0.126467,0.0674147,0,115.606,45.0152,50.6183,28.0193,11.5905,260390,-6.13083,1.10986,0.53977,7.24068,4.53271,2.7967,1.02657,0.647469,2.62767,1013,138.75,371.39,23027.7,0.917848,0.489269,2.41744,0.292617,0.879922,0,5,81.2,78,73.5
