"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","C day-1","C day-1","hPa day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","-","-","-","days day-1","days day-1","%","%","%"
"2024-01-01",1,-5.00547,-9999,85.0826,-9999,130.49,-9999,230.868,24.9542,1.5,11.4636,1.5,914.497,1.5,0.883914,1.5,-0.337063,0.58902,0.546851,2.9674,-9999,-9999,-9999,9.61203,2.89688,-9999,0.356126,-9999,-9999,-9999,0,11.2744,-9999,4.36478,2.15604,0.990451,21947.9,-0.916442,-0.349467,0.610696,0.566975,3.0766,-9999,-9999,-9999,0.830479,139.05,-9999,17.094,-9999,-9999,-9999,2.17683,0.314779,-9999,0,0,0,0,0
"2024-01-02",1,-1.81031,-9999,90.4448,-9999,97.7845,-9999,176.919,29.0865,0.645833,11.4083,0.645833,912.077,0.645833,0.709568,0.708333,-0.155756,0.601421,0.553813,2.99845,17.1967,6.86676,0.30297,8.06643,3.12968,0.164373,0.37397,549.604,2.4498,2.4139,0,8.44858,-9999,3.34482,2.51307,0.985681,21889.8,-0.73568,-0.161487,0.623553,0.574193,3.10879,1.4858,0.593288,0.314119,0.69694,150.225,7.88993,17.9506,13190.5,2.53995,2.50273,2.54958,0.281724,-9999,0,0,35.4,35.4,29.2
"2024-01-03",1,-3.71917,0.266573,97.6651,0.105169,70.0489,45.1801,123.812,21.6175,0.4375,6.50673,0.8125,519.752,0.8125,0.732908,0.8125,-0.198945,0.547297,0.533962,2.90993,10.2453,5.33156,0.236034,7.61164,3.88688,0.15743,0.324292,425.876,1.91519,1.63051,0,6.05222,3.90356,2.34079,1.86775,0.562182,12474,-0.759879,-0.206266,0.567438,0.553612,3.01701,0.88519,0.460647,0.24472,0.657645,186.57,7.55663,15.566,10221,1.98567,1.69051,3.32233,0.231357,0.622492,0,0,56.2,31.2,31.2
"2024-01-04",1,-1.65199,0.289475,93.0741,0.378196,24.2487,12.1305,55.7524,9.05057,0.145833,5.04316,0.125,402.184,0.125,0.635488,0.0625,-0.0998315,0.490755,0.535657,2.91759,5.67801,2.59236,0.134888,1.96547,4.09964,0.105064,0.263236,206.808,1.30323,0.976291,0,2.09509,1.04808,1.05405,0.78197,0.435729,9652.42,-0.658874,-0.103505,0.508815,0.555369,3.02496,0.49058,0.22398,0.139851,0.169817,196.783,5.04308,12.6353,4963.4,1.35119,1.01222,1.79462,0.35783,1.16184,0,0,85.4,87.5,93.8
"2024-01-05",1,-1.49679,0.394685,94.9702,0.295525,28.53,0.929289,73.0974,4.88229,0.333333,3.49203,0.354167,278.725,0.354167,0.66168,0.5,-0.117882,0.528672,0.543798,2.95398,6.42864,2.80512,0.16562,2.39538,5.14904,0.108267,0.260139,223.928,1.61885,1.44647,0,2.46499,0.0802906,1.38197,0.421829,0.301712,6689.4,-0.68603,-0.12222,0.548127,0.56381,3.06269,0.555434,0.242362,0.171715,0.206961,247.154,5.19679,12.4867,5374.28,1.67842,1.4997,1.39812,0.416993,9.01153,0,0,66.7,64.6,50
"2024-01-06",1,-1.26718,0.418674,88.8953,0.641572,25.0482,9.5768,59.2416,3.99642,0.145833,7.55065,0.333333,602.866,0.333333,0.760562,0.541667,-0.18276,0.505024,0.577802,2.96229,5.46199,2.62629,0.147346,3.00832,6.60888,0.106294,0.249578,209.635,1.5005,1.17958,0,2.16416,0.827435,1.12002,0.345291,0.652376,14468.8,-0.788551,-0.189486,0.523609,0.599065,3.0713,0.471916,0.226912,0.152769,0.259919,317.226,5.10212,11.9797,5031.23,1.55572,1.22299,0.529282,0.653902,1.20573,0,0,85.4,66.7,45.8
"2024-01-07",1,-1.59532,0.511585,77.7951,1.21644,78.2093,24.4267,155.37,17.0883,0,8.10284,0.0208333,646.55,0.0208333,0.663856,0.0833333,0.000365404,0.550456,0.664221,2.99479,11.7128,3.29667,0.168152,7.10732,8.90309,0.131668,0.289392,263.111,1.31087,0.847186,0,6.75728,2.11047,2.93742,1.47643,0.700086,15517.2,-0.688286,0.000378851,0.570713,0.688664,3.105,1.01198,0.284833,0.17434,0.614073,427.348,6.32004,13.8908,6314.66,1.35911,0.878362,2.10893,0.321654,1.0313,0,0,100,97.9,91.7
"2024-01-08",1,0.200125,0.52553,94.3086,-9999,21.6865,6.76325,59.9345,1.69385,0.729167,4.54392,0.833333,363.13,0.833333,0.76558,0.791667,-0.0211924,0.487831,0.744388,2.99957,6.04695,4.85893,0.186018,1.87678,9.76084,0.098747,0.234404,388.128,2.4971,0,14.224,1.87372,0.584345,1.13312,0.146349,0.392595,8715.12,-0.793754,-0.0219723,0.505783,0.771782,3.10996,0.522457,0.419811,0.192864,0.162154,468.52,4.73986,11.2514,9315.07,2.58899,0,0.372773,0.728453,0.922303,0,0,27.1,16.7,20.8
"2024-01-09",1,-7.01777,0.590593,88.0862,-9999,77.2569,-8.52289,174.425,-2.24946,0.8125,6.72559,0.895833,533.871,0.895833,1.09725,0.895833,-0.271156,0.566861,0.826092,3.02247,11.9084,16.4326,0.281216,7.22027,10.3459,0.136798,0.252557,1304.54,3.53435,3.4154,1.524,6.675,-0.736378,3.29767,-0.194353,0.581091,12812.9,-1.13763,-0.281135,0.587721,0.856492,3.13369,1.02888,1.41977,0.291565,0.623832,496.602,6.56633,12.1227,31309,3.66441,3.54109,-0.334463,1.50255,-0.525189,0,0,18.8,12.5,10.4
