"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm month-1","MJ m-2 month-1","MJ m-2 month-1","MJ m-2 month-1","MJ m-2 month-1","MJ m-2 month-1","mm month-1","g(C) m-2 month-1","g(C) m-2 month-1","g(C) m-2 month-1","g(C) m-2 month-1","g(C) m-2 month-1","MJ m-2 month-1","MJ m-2 month-1","g(C) m-2 month-1","MJ m-2 month-1","C month-1","C month-1","hPa month-1","mm month-1","g(C) m-2 month-1","g(C) m-2 month-1","-","-","-","days month-1","days month-1","%","%","%"
"Jan-24",31,-6.44407,-9999,83.503,-9999,87.8311,-9999,183.956,2.56676,0.427419,5.36412,0.514113,428.158,0.514113,0.911692,0.646505,-0.196796,0.511603,0.714896,2.43278,1.49241,0.704888,0.0341415,1.31507,1.3843,0.0832862,0.0573909,56.2378,0.333256,0.285833,24.638,235.247,-9999,107.813,6.87481,14.3672,318550,-29.3025,-6.32518,16.4433,22.9773,78.1915,3.99728,1.88797,1.09734,3.52228,2059.84,123.93,85.3976,41840.9,10.7111,9.18689,0.478506,0.676359,-9999,0,0,59.3,51.5,38.4
"Feb-24",29,3.53191,2.53104,65.6472,-9999,140.2,54.8291,283.772,33.8629,0.238506,13.3777,0.262213,1077.4,0.262213,0.971827,0.421695,-0.151401,0.256233,0.820426,1.53918,2.07861,1.08178,0.0396304,1.81608,1.18745,0.241596,0.373204,86.9359,0.403593,0.236546,3.048,351.285,137.38,155.584,84.8468,33.5193,749869,-29.2201,-4.5522,7.70419,24.6679,46.2788,5.20816,2.7105,1.19158,4.55037,1652.93,336.302,519.5,60507.4,12.1349,7.11229,2.53128,0.283183,0.861597,0,11,76.8,74.4,58.8
"Mar-24",31,5.65859,5.11561,58.5759,-9999,167.008,74.6709,344.177,41.9224,0.143145,26.6642,0.180108,2150.63,0.180108,0.460624,0.311828,0.855029,0.979601,1.31565,1.54064,1.96789,1.32452,0.0544078,1.92905,1.18101,0.216618,0.383472,106.656,0.141744,0.0670229,27.432,447.314,199.999,201.716,112.285,71.4173,1600070,-14.8048,27.4813,31.4852,42.2861,49.5175,5.2708,3.54759,1.74871,5.16678,1757.34,322.327,570.606,79352.3,4.55576,2.15417,1.57224,0.388767,0.918517,5,20,85.9,82.1,69.6
"Apr-24",30,11.9464,9.93831,58.6551,-9999,232.017,124.56,484.354,34.0699,0.186111,82.5702,0.230556,6708.5,0.230556,-1.74614,0.399306,5.43019,5.75607,3.68405,4.29989,2.31178,2.87429,0.16528,2.63094,1.09269,0.254612,0.547337,233.231,0.0540246,0.0557724,68.072,601.387,322.858,274.714,88.3093,214.022,4830120,54.3118,168.901,179.037,114.589,133.744,5.99213,7.45016,5.14088,6.81941,1573.47,366.642,788.166,167926,1.68038,1.73474,0.412618,0.707905,0.93642,25,29,82.3,77.6,61.5
"May-24",31,17.6346,15.3637,64.8709,-9999,251.689,146.183,532.672,-1.6533,0.19086,136.888,0.22379,11175,0.22379,-2.46851,0.358199,10.0462,10.3932,7.57768,8.35477,2.32655,3.95266,0.230351,2.60295,0.719459,0.210808,0.591713,322.496,0.0593869,0.0590373,195.834,674.123,391.537,312.19,-4.42821,366.64,8314230,79.3398,322.892,334.045,243.553,268.529,6.23144,10.5868,7.40368,6.97173,1070.55,313.682,880.469,239937,1.90874,1.89751,-0.0120778,1.01223,0.925103,26,31,80.9,77.8,64.2
"Jun-24",30,23.9472,22.0997,65.6528,-9999,272.912,168.3,587.621,23.5848,0.155556,124.667,0.171528,10228.3,0.171528,1.59506,0.297917,7.83418,8.23347,9.42924,9.95531,2.4368,3.82524,0.196445,2.61247,0.745106,0.22485,0.752284,313.859,0.0859522,0.0764297,63.246,707.389,436.234,333.285,61.1318,323.137,7364350,-49.6127,243.674,256.094,293.287,309.65,6.31618,9.91502,6.11021,6.77152,1072.95,323.784,1083.29,225978,2.67346,2.37727,0.189182,0.840914,0.880877,6,30,84.5,82.8,71.1
"Jul-24",31,23.3109,-9999,79.0123,-9999,263.178,-9999,557.927,41.3352,0.307124,103.804,0.344086,8513.79,0.344086,2.6767,0.468414,5.75651,6.42324,8.43321,9.46777,2.385,3.1125,0.191989,2.50337,0.618362,0.195127,0.418773,255.212,0.194071,6.86998,213.868,704.895,-9999,326.992,110.712,278.03,6334260,-86.0313,185.019,206.448,271.05,304.302,6.38798,8.33653,6.17069,6.70504,920.123,290.349,623.135,189878,6.23759,220.807,0.398203,0.715204,-9999,0,31,70.1,66.3,54.5
"Aug-24",31,22.0429,-9999,81.2274,-9999,224.743,-9999,478.506,33.2622,0.213038,97.986,0.231855,8028.38,0.231855,3.19123,0.364919,5.30362,6.36868,8.49485,10.234,1.85957,2.70409,0.177466,2.3751,0.715284,0.207811,0.359548,221.466,0.165391,2.23274,89.662,601.951,-9999,280.444,89.0894,262.446,5973110,-102.569,170.463,204.695,273.031,328.93,4.98067,7.24264,5.7039,6.36146,1064.34,309.223,535.008,164771,5.3158,71.762,0.339458,0.74657,-9999,0,31,78.8,76.9,63.7
"Sep-24",30,19.6093,20.6208,67.5392,-9999,210.962,98.4249,439.184,43.7875,0.165278,54.4506,0.191667,4454.58,0.191667,1.28541,0.345139,2.10837,2.08656,3.39378,3.23982,2.0552,1.96519,0.101527,2.28422,0.86567,0.218977,0.599423,160.597,0.0522542,0.118774,9.652,546.812,255.117,249.095,113.497,141.136,3207300,-39.9813,65.5789,64.9002,105.56,100.772,5.32709,5.09377,3.1579,5.92071,1246.56,315.328,863.169,115630,1.62531,3.69434,0.804168,0.554272,0.998102,0,30,83.5,80.8,65.8
