"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","mm week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","g(C) m-2 week-1","MJ m-2 week-1","C week-1","C week-1","hPa week-1","mm week-1","g(C) m-2 week-1","g(C) m-2 week-1","-","-","-","days week-1","days week-1","%","%","%"
"01_24",7,-2.36375,-9999,89.7039,-9999,64.9085,-9999,125.009,15.8108,0.458333,7.65247,0.541667,610.95,0.541667,0.72114,0.60119,-0.155982,0.544664,0.565158,2.95778,3.52297,1.35505,0.0727288,2.38791,1.94227,0.0613745,0.103267,108.206,0.625473,0.490958,0,39.2567,-9999,16.5438,9.56239,4.62822,102640,-5.23374,-1.13205,3.95295,4.10169,21.4664,2.13069,0.819534,0.527837,1.44421,652.603,20.6218,34.6978,18178.5,4.53944,3.56317,2.06611,0.326147,-9999,0,0,61.3,54.8,48.8
"02_24",7,-12.516,-9999,80.2764,-9999,79.5338,-9999,171.919,-2.02263,0.696429,4.32951,0.791667,342.602,0.791667,1.03757,0.815476,-0.176231,0.554723,0.861339,2.74813,5.06079,2.90741,0.0939152,2.74857,3.59609,0.217696,0.0819454,230.489,1.10758,0.849879,23.114,48.102,-9999,22.752,-1.22329,2.61849,57557.1,-7.53027,-1.27901,4.02596,6.25126,19.9448,3.06077,1.7584,0.681599,1.66234,1208.29,73.1459,27.5337,38722.2,8.03836,6.16808,-0.467173,1.87678,-9999,0,0,32.1,23.8,21.1
"03_24",7,-15.1317,-9999,70.1802,-9999,112.305,-9999,227.189,-9.59069,0.354167,3.42966,0.401786,271.904,0.401786,1.07605,0.598214,-0.196946,0.533057,0.8791,2.12097,2.29347,1.06286,0.0533514,3.14119,3.73485,0.221721,0.0825912,84.2145,0.666322,0.574328,1.524,67.9223,-9999,30.0665,-5.80045,2.07426,45679.9,-7.80951,-1.42936,3.86871,6.38015,15.3931,1.38709,0.642819,0.387203,1.89979,1254.91,74.4981,27.7506,14148,4.8359,4.16824,-2.7964,-0.556669,-9999,0,0,64.6,61,42.3
"04_24",7,0.265623,-0.187518,93.1036,0.479401,72.657,20.1638,169.803,2.7898,0.154762,4.08919,0.282738,327.739,0.282738,0.803177,0.5625,-0.215185,0.445824,0.587992,2.10326,1.92038,1.17325,0.0654745,2.33654,2.98466,0.13876,0.145089,93.8682,0.620151,0.602722,0,43.9429,12.1951,22.472,1.68727,2.47314,55060.1,-5.82914,-1.56173,3.23561,4.26741,15.2646,1.16144,0.709584,0.475188,1.41314,1002.85,46.6234,48.7499,15769.9,4.5008,4.37431,0.682239,0.594446,0.341154,0,0,84.5,71.7,43.8
"05_24",7,3.91766,0.53188,89.2189,-9999,100.561,44.3581,208.467,5.69886,0.366071,7.78374,0.422619,627.14,0.422619,0.943823,0.502976,-0.235388,0.40149,0.708435,1.946,4.59146,2.39863,0.0717315,2.96371,1.55422,0.4506,0.303131,192.896,0.646492,0.464052,1.778,60.8191,26.8278,27.5888,3.44667,4.70761,105360,-6.84989,-1.70835,2.91386,5.14154,14.1233,2.77691,1.45069,0.520599,1.79245,522.219,151.402,101.852,32406.5,4.69198,3.36791,0.732149,0.577317,0.303949,0,1,63.4,57.7,49.7
"06_24",7,3.80495,3.01589,74.6014,-9999,101.273,35.3132,211.476,19.552,0.172619,12.5014,0.199405,1005.54,0.199405,1.0935,0.366071,-0.125467,0.339677,0.968029,2.09534,4.12006,2.42006,0.0612676,3.26801,1.93998,0.515942,0.41148,194.507,0.758572,0.432814,0,61.2497,21.3574,27.9871,11.8251,7.56085,168930,-7.93616,-0.910592,2.46524,7.02557,15.2071,2.49181,1.46365,0.444656,1.97649,651.833,173.356,138.257,32677.2,5.50541,3.14119,1.56399,0.390018,0.907689,0,2,82.7,80.1,64.3
"07_24",7,0.16516,2.05109,64.241,-9999,156.573,61.0651,312.326,44.3969,0.196429,13.6193,0.232143,1090.8,0.232143,0.994291,0.363095,-0.184164,0.283265,0.810128,1.5042,3.78578,2.48579,0.0703031,3.81487,2.48556,0.448394,0.643573,198.996,0.731947,0.498244,1.27,94.6955,36.9321,41.3336,26.8512,8.23693,183254,-7.21617,-1.33659,2.05583,5.87958,10.9169,2.28964,1.50341,0.510231,2.30723,835.148,150.661,216.241,33431.3,5.31218,3.61605,3.25986,0.234749,0.950071,0,1,80.4,76.8,63.7
"08_24",7,6.31431,3.17096,54.7757,-9999,172.713,70.0275,348.667,47.0185,0.321429,14.7511,0.324405,1193.67,0.324405,0.896389,0.565476,-0.209201,0.159946,0.687189,1.19263,4.81698,1.84489,0.117119,4.2017,3.02596,0.534205,1.04676,149.166,1.09386,0.617487,0,104.457,42.3527,46.1431,28.4368,8.92148,200537,-6.50564,-1.51829,1.16082,4.98734,8.6556,2.91331,1.11579,0.850006,2.54119,1016.72,179.493,351.711,25059.9,7.93882,4.48148,3.18745,0.238809,0.882077,0,5,68.2,67.9,44
"09_24",7,5.7988,4.02981,50.3568,-9999,191.147,74.4298,382.483,46.3282,0.21131,19.1642,0.244048,1549.94,0.244048,0.848958,0.318452,0.153436,0.101738,1.00239,0.791986,4.63226,1.69986,0.0901811,4.3447,3.01489,0.412947,1.10533,137.27,0.904433,0.432026,0,115.606,45.0152,50.6183,28.0193,11.5905,260390,-6.1614,1.11358,0.738372,7.27497,5.74792,2.80159,1.02808,0.654499,2.62767,1013,138.75,371.39,23061.3,6.56401,3.13547,2.41744,0.292617,0.879922,0,5,81.2,78,71.1
"10_24",7,4.37496,4.37162,51.2469,-9999,151.791,64.9263,311.477,42.2678,0.241071,18.2325,0.28869,1470.38,0.28869,0.564605,0.497024,0.449294,0.368946,1.0139,0.725913,4.56233,2.51751,0.0948803,3.92722,2.72336,0.447338,0.908722,202.667,0.0818444,0.0694076,0.254,91.8031,39.2674,41.2213,25.5636,11.027,247024,-4.09768,3.26079,2.67766,7.35847,5.26838,2.7593,1.52259,0.688603,2.37518,915.05,150.305,305.33,34048,0.593994,0.503732,2.31827,0.301362,0.931831,0,4,75.9,71.7,52.4
"11_24",7,8.47917,6.7455,59.67,5.58419,182.603,76.8648,375.645,36.4935,0.0922619,32.1346,0.142857,2597.11,0.142857,0.652327,0.261905,1.01271,1.16536,1.66504,2.10694,4.06867,2.80074,0.121072,4.13695,2.72737,0.503876,0.886434,226.021,0.031745,0.035872,10.668,110.438,46.4879,49.7134,22.0712,19.435,436314,-4.73433,7.34985,8.45773,12.0842,15.2913,2.46073,1.69389,0.878691,2.50203,916.395,169.302,297.842,37971.5,0.230392,0.260344,1.13564,0.468243,0.89284,0,6,91.1,85.7,73.8
"12_24",7,3.12667,4.41415,55.7365,-9999,160.012,75.4174,329.685,44.5853,0.110119,27.5659,0.119048,2216.38,0.119048,0.413967,0.261905,0.887528,1.08046,1.3015,1.70208,3.99226,2.77481,0.10833,3.9599,2.30788,0.462389,0.643854,222.727,0.0193569,0.0156282,13.97,96.7756,45.6124,43.6309,26.9652,16.6719,372352,-3.00441,6.44132,7.84158,9.44573,12.353,2.41452,1.6782,0.786218,2.39495,775.446,155.363,216.335,37418.1,0.140485,0.113423,1.61741,0.382058,0.956692,1,3,89.3,88.1,75
"13_24",7,4.9178,4.89217,68.0623,3.65088,163.322,81.2827,340.352,43.9838,0.139881,32.0081,0.169643,2579.73,0.169643,0.0577476,0.276786,1.28339,1.68628,1.34114,1.97798,3.88394,3.36212,0.135693,4.06662,2.29261,0.471167,0.649761,270.821,0.0409645,0.0444114,2.54,98.7774,49.1598,45.0427,26.6014,19.3585,433394,-0.419109,9.31436,12.2384,9.73347,14.3554,2.349,2.03341,0.984802,2.45949,770.316,158.312,218.32,45497.9,0.297304,0.32232,1.37415,0.421204,0.934909,4,4,86.3,83,72.3
"14_24",7,8.20037,7.11949,61.972,-9999,212.676,110.31,438.432,51.4569,0.208333,51.9097,0.294643,4197.06,0.294643,-0.11415,0.389881,2.18081,2.33669,2.06666,2.58153,5.39287,4.84743,0.251263,5.10506,1.9864,0.44609,0.801553,391.812,0.0675333,0.0732634,7.112,128.627,66.7158,58.0227,31.1211,31.395,705106,0.828456,15.8274,16.9588,14.999,18.7357,3.26161,2.93172,1.82356,3.08754,667.429,149.886,269.322,65824.5,0.490129,0.531717,0.991277,0.50219,0.937052,4,7,79.2,70.5,61
